tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,number,port,control,value,channel,program,note,velocity,frame_rate,hours,minutes,seconds,frames,sub_frames
6696,note_on,216,0,11,,,,,,,,,,,10,,57,0,,,,,,
6696,note_on,216,0,6,,,,,,,,,,,5,,45,0,,,,,,
6708,note_on,108,0,4,,,,,,,,,,,3,,66,0,,,,,,
6720,note_on,12,0,4,,,,,,,,,,,3,,67,100,,,,,,
6720,note_on,48,0,1,,,,,,,,,,,0,,76,100,,,,,,
6720,note_on,48,0,3,,,,,,,,,,,2,,64,100,,,,,,
6720,note_on,48,0,2,,,,,,,,,,,1,,76,100,,,,,,
6720,note_on,24,0,11,,,,,,,,,,,10,,55,100,,,,,,
6720,note_on,24,0,6,,,,,,,,,,,5,,43,100,,,,,,
6720,note_on,24,0,7,,,,,,,,,,,5,,55,100,,,,,,
6936,note_on,216,0,7,,,,,,,,,,,5,,55,0,,,,,,
6936,note_on,696,0,5,,,,,,,,,,,4,,59,0,,,,,,
6936,note_on,216,0,4,,,,,,,,,,,3,,67,0,,,,,,
6936,note_on,216,0,6,,,,,,,,,,,5,,43,0,,,,,,
6936,note_on,216,0,3,,,,,,,,,,,2,,64,0,,,,,,
6936,note_on,216,0,11,,,,,,,,,,,10,,55,0,,,,,,
6960,note_on,24,0,6,,,,,,,,,,,5,,40,100,,,,,,
6960,note_on,24,0,7,,,,,,,,,,,5,,52,100,,,,,,
6960,note_on,24,0,5,,,,,,,,,,,4,,55,100,,,,,,
6960,note_on,24,0,11,,,,,,,,,,,10,,52,100,,,,,,
6960,note_on,24,0,3,,,,,,,,,,,2,,72,100,,,,,,
7152,note_on,432,0,1,,,,,,,,,,,0,,76,0,,,,,,
7152,note_on,432,0,2,,,,,,,,,,,1,,76,0,,,,,,
7176,note_on,216,0,5,,,,,,,,,,,4,,55,0,,,,,,
7176,note_on,216,0,6,,,,,,,,,,,5,,40,0,,,,,,
7176,note_on,216,0,11,,,,,,,,,,,10,,52,0,,,,,,
7176,note_on,216,0,7,,,,,,,,,,,5,,52,0,,,,,,
7200,note_on,24,0,5,,,,,,,,,,,4,,57,100,,,,,,
7200,note_on,24,0,6,,,,,,,,,,,5,,42,100,,,,,,
7200,note_on,48,0,1,,,,,,,,,,,0,,74,100,,,,,,
7200,note_on,24,0,11,,,,,,,,,,,10,,54,100,,,,,,
7200,note_on,48,0,2,,,,,,,,,,,1,,74,100,,,,,,
7200,note_on,24,0,7,,,,,,,,,,,5,,54,100,,,,,,
7392,note_on,432,0,3,,,,,,,,,,,2,,72,0,,,,,,
7416,note_on,216,0,11,,,,,,,,,,,10,,54,0,,,,,,
7416,note_on,216,0,6,,,,,,,,,,,5,,42,0,,,,,,
7416,note_on,216,0,5,,,,,,,,,,,4,,57,0,,,,,,
7416,note_on,216,0,7,,,,,,,,,,,5,,54,0,,,,,,
7440,note_on,48,0,3,,,,,,,,,,,2,,71,100,,,,,,
7440,note_on,504,0,4,,,,,,,,,,,3,,64,100,,,,,,
7440,note_on,24,0,5,,,,,,,,,,,4,,59,100,,,,,,
7440,note_on,24,0,6,,,,,,,,,,,5,,44,100,,,,,,
7440,note_on,24,0,7,,,,,,,,,,,5,,56,100,,,,,,
7440,note_on,24,0,11,,,,,,,,,,,10,,56,100,,,,,,
