tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,pitch,note,velocity
161760,note_off,480,0,2,,,,,,,,,2,,,71,0
162000,note_on,0,0,1,,,,,,,,,1,,,74,55
162000,note_off,480,0,1,,,,,,,,,1,,,76,0
162240,note_on,0,0,5,,,,,,,,,5,,,52,56
162240,note_off,480,0,2,,,,,,,,,2,,,69,0
162240,note_off,480,0,5,,,,,,,,,5,,,54,0
162240,note_on,0,0,2,,,,,,,,,2,,,67,56
162480,note_on,0,0,1,,,,,,,,,1,,,72,56
162480,note_off,480,0,1,,,,,,,,,1,,,74,0
162720,note_on,0,0,5,,,,,,,,,5,,,50,56
162720,note_on,0,0,2,,,,,,,,,2,,,66,56
162720,note_off,480,0,2,,,,,,,,,2,,,67,0
162720,note_off,480,0,5,,,,,,,,,5,,,52,0
162960,note_on,0,0,1,,,,,,,,,1,,,71,57
162960,note_off,480,0,1,,,,,,,,,1,,,72,0
163200,note_on,0,0,5,,,,,,,,,5,,,48,57
163200,note_off,480,0,5,,,,,,,,,5,,,50,0
163200,note_on,0,0,2,,,,,,,,,2,,,64,57
163200,note_off,480,0,2,,,,,,,,,2,,,66,0
163440,note_off,480,0,1,,,,,,,,,1,,,71,0
163440,note_on,0,0,1,,,,,,,,,1,,,69,58
163680,note_on,0,0,5,,,,,,,,,5,,,47,58
163680,note_off,480,0,2,,,,,,,,,2,,,64,0
163680,note_on,0,0,2,,,,,,,,,2,,,62,58
163680,note_off,480,0,5,,,,,,,,,5,,,48,0
163920,note_off,480,0,1,,,,,,,,,1,,,69,0
163920,note_on,0,0,1,,,,,,,,,1,,,67,59
164100,note_off,420,0,2,,,,,,,,,2,,,62,0
164100,set_tempo,2820,1,0,,,,,,441176,,,,,,,
164100,note_off,420,0,5,,,,,,,,,5,,,47,0
164100,note_off,180,0,1,,,,,,,,,1,,,67,0
164160,note_on,60,0,1,,,,,,,,,1,,,68,61
164160,note_on,60,0,5,,,,,,,,,5,,,48,60
164160,note_on,60,0,2,,,,,,,,,2,,,64,61
164400,note_on,0,0,1,,,,,,,,,1,,,69,59
164400,note_off,240,0,1,,,,,,,,,1,,,68,0
164520,note_off,360,0,5,,,,,,,,,5,,,48,0
164585,note_off,425,0,2,,,,,,,,,2,,,64,0
164585,note_off,185,0,1,,,,,,,,,1,,,69,0
164640,note_on,120,0,5,,,,,,,,,5,,,45,57
164880,note_on,295,0,1,,,,,,,,,1,,,72,56
164880,note_on,295,0,2,,,,,,,,,2,,,69,56
164950,note_off,310,0,5,,,,,,,,,5,,,45,0
165000,note_off,120,0,2,,,,,,,,,2,,,69,0
165000,note_off,120,0,1,,,,,,,,,1,,,72,0
165120,note_on,120,0,2,,,,,,,,,2,,,67,54
165120,note_on,170,0,5,,,,,,,,,5,,,50,54
165120,note_on,120,0,1,,,,,,,,,1,,,71,54
165240,note_off,120,0,2,,,,,,,,,2,,,67,0
165240,note_off,120,0,1,,,,,,,,,1,,,71,0
165360,note_on,120,0,2,,,,,,,,,2,,,66,52
165360,note_on,120,0,1,,,,,,,,,1,,,69,52
165430,note_off,310,0,5,,,,,,,,,5,,,50,0
165480,note_off,120,0,2,,,,,,,,,2,,,66,0
165480,note_off,120,0,1,,,,,,,,,1,,,69,0
165560,set_tempo,1460,1,0,,,,,,454545,,,,,,,
165600,note_on,120,0,1,,,,,,,,,1,,,83,72
165600,set_tempo,40,1,0,,,,,,428571,,,,,,,
165600,note_on,170,0,5,,,,,,,,,5,,,67,72
165720,note_on,240,0,2,,,,,,,,,2,,,85,73
165840,note_off,120,0,2,,,,,,,,,2,,,85,0
165840,note_on,0,0,2,,,,,,,,,2,,,87,73
165960,note_off,120,0,2,,,,,,,,,2,,,87,0
